,bin_trial,split_by,type,samp,Unnamed: 0,subj_idx,response,rt,trial,feedback,upper_hpd,lower_hpd,up_err,low_err,model
123,30,1,simulated,5.5,72030.0,23.0,0.6444444444444445,0.5332756297451546,31.0,0.5155555555555555,0.7333333333333333,0.5555555555555556,0.0888888888888888,0.0888888888888889,RLDDM_single_learning
124,31,0,observed,0.0,25110.88888888889,23.0,0.3111111111111111,0.5685777777777777,32.0,0.6666666666666666,0.3111111111111111,0.3111111111111111,0.0,0.0,RLDDM_single_learning
125,31,0,simulated,5.5,71871.0,23.0,0.6688888888888889,0.5117068687357607,32.0,0.5444444444444445,0.8222222222222222,0.5333333333333333,0.15333333333333332,0.13555555555555554,RLDDM_single_learning
126,31,1,observed,0.0,25111.88888888889,23.0,0.24444444444444444,0.5440444444444444,32.0,0.6222222222222222,0.24444444444444444,0.24444444444444444,0.0,0.0,RLDDM_single_learning
127,31,1,simulated,5.5,72031.0,23.0,0.6377777777777778,0.549073407522911,32.0,0.5488888888888889,0.7333333333333333,0.5555555555555556,0.0955555555555555,0.0822222222222222,RLDDM_single_learning
128,32,0,observed,0.0,25112.88888888889,23.0,0.4222222222222222,0.6052666666666667,33.0,0.6666666666666666,0.4222222222222222,0.4222222222222222,0.0,0.0,RLDDM_single_learning
129,32,0,simulated,5.5,71872.0,23.0,0.6622222222222222,0.511000202069067,33.0,0.5599999999999999,0.7333333333333333,0.5555555555555556,0.07111111111111112,0.10666666666666658,RLDDM_single_learning
130,32,1,observed,0.0,25113.88888888889,23.0,0.37777777777777777,0.5710666666666667,33.0,0.5111111111111111,0.37777777777777777,0.37777777777777777,0.0,0.0,RLDDM_single_learning
131,32,1,simulated,5.5,72032.0,23.0,0.6311111111111111,0.5713956297451139,33.0,0.5466666666666666,0.7111111111111111,0.4888888888888889,0.08000000000000007,0.1422222222222222,RLDDM_single_learning
132,33,0,observed,0.0,25114.88888888889,23.0,0.3111111111111111,0.5922888888888889,34.0,0.6,0.3111111111111111,0.3111111111111111,0.0,0.0,RLDDM_single_learning
133,33,0,simulated,5.5,71873.0,23.0,0.6511111111111111,0.541253535402366,34.0,0.5822222222222222,0.6888888888888889,0.5777777777777777,0.0377777777777778,0.07333333333333336,RLDDM_single_learning
134,33,1,observed,0.0,25115.88888888889,23.0,0.28888888888888886,0.5005111111111111,34.0,0.6888888888888889,0.28888888888888886,0.28888888888888886,0.0,0.0,RLDDM_single_learning
135,33,1,simulated,5.5,72033.0,23.0,0.6355555555555555,0.5640622964117961,34.0,0.5755555555555556,0.8222222222222222,0.4888888888888889,0.18666666666666665,0.14666666666666667,RLDDM_single_learning
136,34,0,observed,0.0,25116.88888888889,23.0,0.3111111111111111,0.595,35.0,0.6666666666666666,0.3111111111111111,0.3111111111111111,0.0,0.0,RLDDM_single_learning
137,34,0,simulated,5.5,71874.0,23.0,0.6488888888888888,0.5200690909579055,35.0,0.5444444444444445,0.7111111111111111,0.5333333333333333,0.06222222222222229,0.11555555555555552,RLDDM_single_learning
138,34,1,observed,0.0,25117.88888888889,23.0,0.24444444444444444,0.5311555555555556,35.0,0.7555555555555555,0.24444444444444444,0.24444444444444444,0.0,0.0,RLDDM_single_learning
139,34,1,simulated,5.5,72034.0,23.0,0.64,0.5545711853006996,35.0,0.5599999999999999,0.7333333333333333,0.5555555555555556,0.09333333333333327,0.08444444444444443,RLDDM_single_learning
140,35,0,observed,0.0,25118.88888888889,23.0,0.24444444444444444,0.5178666666666666,36.0,0.6666666666666666,0.24444444444444444,0.24444444444444444,0.0,0.0,RLDDM_single_learning
141,35,0,simulated,5.5,71875.0,23.0,0.64,0.5303779798467623,36.0,0.5622222222222222,0.8,0.5555555555555556,0.16000000000000003,0.08444444444444443,RLDDM_single_learning
142,35,1,observed,0.0,25119.88888888889,23.0,0.2222222222222222,0.4643555555555556,36.0,0.6,0.2222222222222222,0.2222222222222222,0.0,0.0,RLDDM_single_learning
